clade_name,ASAL001,ASAL002,ASAL003,ASAL004,ASAL006,ASAL009,ASAL010,ASAL011,ASAL015,ASAL016,ASAL017,ASAL018,ASAL019,ASAL020,ASAL001_1_6,ASAL002_1_6,ASAL003_1_6,ASAL004_1_6,ASAL006_1_6,ASAL009_1_6,ASAL010_1_6,ASAL011_1_6,ASAL015_1_6,ASAL016_1_6,ASAL017_1_6,ASAL018_1_6,ASAL019_1_6,ASAL020_1_6,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G1,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G2,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G3,G4,G5,G6,G7,G8,G9,G10_1_6,G11_1_6,G12_1_6,G13_1_6,G14_1_6,G15_1_6,G16_1_6,G17_1_6,G18_1_6,G19_1_6,G1_1_6,G20_1_6,G21_1_6,G22_1_6,G23_1_6,G24_1_6,G25_1_6,G26_1_6,G27_1_6,G28_1_6,G29_1_6,G2_1_6,G30_1_6,G31_1_6,G32_1_6,G33_1_6,G34_1_6,G35_1_6,G36_1_6,G37_1_6,G38_1_6,G39_1_6,G3_1_6,G4_1_6,G5_1_6,G6_1_6,G7_1_6,G8_1_6,G9_1_6
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces graevenitzii,0,0.1668,0,0,0,0.7763,0.7491,0,0.1881,0,0,0.3237,0.3028,0.967,0,0,0,0,0,0,0.8803,0,0.1065,0,0,0,0.2617,1.129,0,0.1679,0.0697,0.1584,0,1.6429,0.506,0.1964,0.8651,1.191,0,0.2929,0,0.3215,0.055,0.4852,0.6753,1.3411,0.0292,0.6037,0.9062,0.4718,0,0,0,1.04,0,0.2166,5.2805,0,0,0.1375,4.7802,0,0.0542,0.0339,0.3274,0,0,0,0.1245,0,0.1715,0,1.7161,0,0.2277,0,1.1782,0,0.2872,0,0.296,0,0.4769,0.6235,1.3101,0,0,0.8439,0.5105,0,0,0,0,0,0.1553,0,0.1639,0,0,5.0746,1.8781,0,0,0.3095,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces graevenitzii|t__GCF_000239695.1,0,0.1668,0,0,0,0.7763,0.7491,0,0.1881,0,0,0.3237,0.3028,0.967,0,0,0,0,0,0,0.8803,0,0.1065,0,0,0,0.2617,1.129,0,0.1679,0.0697,0.1584,0,1.6429,0.506,0.1964,0.8651,1.191,0,0.2929,0,0.3215,0.055,0.4852,0.6753,1.3411,0.0292,0.6037,0.9062,0.4718,0,0,0,1.04,0,0.2166,5.2805,0,0,0.1375,4.7802,0,0.0542,0.0339,0.3274,0,0,0,0.1245,0,0.1715,0,1.7161,0,0.2277,0,1.1782,0,0.2872,0,0.296,0,0.4769,0.6235,1.3101,0,0,0.8439,0.5105,0,0,0,0,0,0.1553,0,0.1639,0,0,5.0746,1.8781,0,0,0.3095,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces haliotis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059,0,0,0,0,0,0,0,0,0.0841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces haliotis|t__GCF_015355765.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0059,0,0,0,0,0,0,0,0,0.0841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces israelii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115,0,0,0.023,0.0026,0,0,0.03,0.0296,0.0231,0.0034,0,0.0275,0.0576,0.026,0.0137,0.021,0.0101,0.0159,0,0.0279,0,0,0.0638,0,0.0124,0,0,0.0024,0,0,0.0084,0,0,0.0151,0,0.0142,0,0,0,0,0,0,0,0,0,0.0404,0.0268,0,0,0,0,0.0451,0.0327,0,0,0,0,0,0.0435,0,0,0.0607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces israelii|t__GCF_000711965.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115,0,0,0.023,0.0026,0,0,0.03,0.0296,0.0231,0.0034,0,0.0275,0.0576,0.026,0.0137,0.021,0.0101,0.0159,0,0.0279,0,0,0.0638,0,0.0124,0,0,0.0024,0,0,0.0084,0,0,0.0151,0,0.0142,0,0,0,0,0,0,0,0,0,0.0404,0.0268,0,0,0,0,0.0451,0.0327,0,0,0,0,0,0.0435,0,0,0.0607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces johnsonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105,0.0175,0.0043,0.0192,0,0.0029,0,0.013,0.0287,0,0,0.0082,0,0.0377,0.0418,0,0.0116,0,0.0185,0.0117,0,0,0,0.0895,0.0552,0,0,0,0.0507,0,0,0,0,0.0262,0.0041,0,0,0.0255,0.0254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492,0,0,0,0,0,0,0,0,0.1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces johnsonii|t__GCF_006546835.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105,0.0175,0.0043,0.0192,0,0.0029,0,0.013,0.0287,0,0,0.0082,0,0.0377,0.0418,0,0.0116,0,0.0185,0.0117,0,0,0,0.0895,0.0552,0,0,0,0.0507,0,0,0,0,0.0262,0.0041,0,0,0.0255,0.0254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492,0,0,0,0,0,0,0,0,0.1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces massiliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239,0.013,0.0096,0.0054,0.0492,0.0049,0.0286,0.0145,0.0152,0.0452,0.0079,0.0089,0,0.1581,0.0544,0.0538,0.0038,0.0179,0.0147,0.0154,0.021,0.0208,0.0544,0.1049,0.0392,0,0.0467,0.0999,0,0.0068,0,0.044,0.0169,0.0131,0.0119,0.0285,0.0037,0.0131,0.0435,0,0,0,0,0.0503,0,0,0,0,0.0656,0,0,0,0.2126,0.0839,0.0785,0,0,0,0,0,0,0.0794,0.1069,0,0,0.0743,0.1221,0,0,0,0.0442,0,0,0,0.0291,0,0,0.0525
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces massiliensis|t__GCF_000269805.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239,0.013,0.0096,0.0054,0.0492,0.0049,0.0286,0.0145,0.0152,0.0452,0.0079,0.0089,0,0.1581,0.0544,0.0538,0.0038,0.0179,0.0147,0.0154,0.021,0.0208,0.0544,0.1049,0.0392,0,0.0467,0.0999,0,0.0068,0,0.044,0.0169,0.0131,0.0119,0.0285,0.0037,0.0131,0.0435,0,0,0,0,0.0503,0,0,0,0,0.0656,0,0,0,0.2126,0.0839,0.0785,0,0,0,0,0,0,0.0794,0.1069,0,0,0.0743,0.1221,0,0,0,0.0442,0,0,0,0.0291,0,0,0.0525
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces naeslundii,0,0,0.0326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204,0.0473,0.0083,0.0214,0.0686,0.0056,0.0429,0.0132,0.0489,0.0908,0.0365,0.0092,0,0.2669,0.0933,0.0266,0.0103,0.0691,0.0278,0.0724,0.0353,0.0403,0.2467,0.0431,0.0966,0.0298,0.0444,0.2056,0,0.0175,0,0.075,0.0181,0.0255,0.0099,0.0436,0,0.0258,0.0519,0,0.0719,0,0.0439,0.1281,0,0.0262,0,0.0833,0.12,0.0425,0,0,0.3997,0.2249,0,0,0.0956,0,0.1273,0.0451,0.0606,0.3203,0,0.1848,0,0.0474,0.1848,0,0.0306,0,0.0782,0,0.0465,0,0.0617,0,0,0.0319
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces naeslundii|t__GCF_001956585.1,0,0,0.0326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204,0.0473,0.0083,0.0214,0.0686,0.0056,0.0429,0.0132,0.0489,0.0908,0.0365,0.0092,0,0.2669,0.0933,0.0266,0.0103,0.0691,0.0278,0.0724,0.0353,0.0403,0.2467,0.0431,0.0966,0.0298,0.0444,0.2056,0,0.0175,0,0.075,0.0181,0.0255,0.0099,0.0436,0,0.0258,0.0519,0,0.0719,0,0.0439,0.1281,0,0.0262,0,0.0833,0.12,0.0425,0,0,0.3997,0.2249,0,0,0.0956,0,0.1273,0.0451,0.0606,0.3203,0,0.1848,0,0.0474,0.1848,0,0.0306,0,0.0782,0,0.0465,0,0.0617,0,0,0.0319
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oricola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oricola|t__GCF_004104015.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oris,0,0,0,0,0,0,0.2794,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2738,0,0,0,0,0,0,0,0.0554,0.0535,0,0.0273,0.1157,0.0165,0.0418,0.031,0.2633,0,0.2809,0.0153,0.2765,0.7544,0.0682,0.0922,0.0143,0.0948,0.0386,0.1821,0,0.0169,0,0.5867,0.4983,0.2112,0,0.128,0,0.0573,0.0037,0,0.0239,0,0,0.0326,0,0.0784,0.0731,0.0857,0,0,0,0.1184,0,0,0,0,0,0.329,0,0.3993,0.8485,0.1233,0.1621,0,0.0982,0,0.2666,0,0,0,0.7039,0.5188,0.3719,0,0,0,0,0,0,0,0,0,0.0431,0,0,0
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oris_A,0.0891,0,0.0646,0,0.1299,0,0,0,0.1857,0,0,0.206,0,0,0,0,0,0,0,0,0,0,0.1563,0,0,0.2755,0,0,0.1103,0,0.0106,0,0,0,0.0879,0,0.0731,0.0348,0,0.0288,0,0,0,0,0.1629,0,0,0.1823,0.0524,0,0,0,0.5448,0.1678,0,0,0,0,0,0.0759,0,0,0.011,0.0231,0.0869,0.1033,0.1271,0.2062,0,0,0,0,0,0.1521,0,0.2066,0.0711,0,0.0631,0,0,0,0,0.2387,0,0,0.3041,0,0,0,0,0.6015,0,0,0,0,0,0,0,0,0,0,0,0.1295,0.1385,0.1936
d__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oris_A|t__GCF_001553935.1,0.0891,0,0.0646,0,0.1299,0,0,0,0.1857,0,0,0.206,0,0,0,0,0,0,0,0,0,0,0.1563,0,0,0.2755,0,0,0.1103,0,0.0106,0,0,0,0.0879,0,0.0731,0.0348,0,0.0288,0,0,0,0,0.1629,0,0,0.1823,0.0524,0,0,0,0.5448,0.1678,0,0,0,0,0,0.0759,0,0,0.011,0.0231,0.0869,0.1033,0.1271,0.2062,0,0,0,0,0,0.1521,0,0.2066,0.0711,0,0.0631,0,0,0,0,0.2387,0,0,0.3041,0,0,0,0,0.6015,0,0,0,0,0,0,0,0,0,0,0,0.1295,0.1385,0.1936
